Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
novitec-diffusor-replacement-for-original-diffusor-visible-carbon-ferrari-sf90,Rear Diffusor - Ferrari SF90 Stradale & Spider - F6 090 34 - Novitec,"<h2>Description</h2> <p>The <strong>NOVITEC Rear Diffusor (Visible Carbon)</strong> for the <strong>Ferrari SF90 Stradale and SF90 Spider</strong> is designed to replace the original factory diffuser, delivering enhanced aerodynamic performance and a more aggressive rear appearance. Engineered to optimize airflow beneath the vehicle, this component improves rear-end stability and supports overall aerodynamic balance at high speeds.</p> <p>Manufactured from premium <strong>carbon fiber</strong> and finished in <strong>visible carbon</strong>, the diffuser combines lightweight construction with exceptional rigidity and seamless OEM-level integration.</p> <h2>Compatibility</h2> <p>Ferrari <strong>SF90 Stradale</strong><br>Ferrari <strong>SF90 Spider</strong></p> <h2>Key Features</h2> <ul> <li> <p>Replaces original factory rear diffuser</p> </li> <li> <p>Enhances rear aerodynamics and downforce</p> </li> <li> <p>Manufactured from high-quality carbon fiber</p> </li> <li> <p>Visible carbon finish for a premium motorsport look</p> </li> <li> <p>Lightweight and high-strength construction</p> </li> <li> <p>OEM-level integration and precise fitment</p> </li> </ul> <h2>Included Components</h2> <ul> <li> <p>Rear diffusor (visible carbon)</p> </li> <li> <p>Required mounting / installation material (as supplied by NOVITEC)</p> </li> </ul> <h2>Technical Details</h2> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Rear Diffusor</p> </li> <li> <p>Vehicle Application: SF90 Stradale / SF90 Spider</p> </li> <li> <p>Material: Carbon Fiber</p> </li> <li> <p>Finish: Visible Carbon</p> </li> </ul> <h2>Installation</h2> <p>Professional installation is strongly recommended to ensure proper alignment and optimal aerodynamic performance.</p> <h2>Part Number</h2> <ul> <li> <p><strong>F6 090 34</strong></p> </li> </ul> <h2>Special Order</h2> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Aerodynamics,"brand_novitec, car_ferrari, category_aerodynamic, condition_new, install_available, model_sf90, pricing_buy_now",TRUE,Variant,Visible Carbon,F6 090 34,0,shopify,5,deny,manual,37900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-06_at_12.44.08.png,1,Rear Diffusor - Ferrari SF90 Stradale & Spider - F6 090 34 - Novitec,FALSE,active
novitec-diffusor-replacement-for-original-diffusor-visible-carbon-ferrari-sf90,,,,,,,,Ferrari Carbon,F6 090 34,0,shopify,3,deny,manual,37900.00,TRUE,TRUE,,,,,
novitec-diffusor-replacement-for-original-diffusor-visible-carbon-ferrari-sf90,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-02-06at12.20.11.png,2,Rear Diffusor - Ferrari SF90 Stradale & Spider - F6 090 34 - Novitec,,
novitec-diffusor-replacement-for-original-diffusor-visible-carbon-ferrari-sf90,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-01-15_at_00.30.11_df9037c1-74d2-4b4b-b857-33ba5b67e150.png,3,Rear Diffusor - Ferrari SF90 Stradale & Spider - F6 090 34 - Novitec,,
novitec-ferrari-812-f6-812-28,Engine Bonnet - Ferrari 812 Superfast & GTS - F6 812 28/ 29 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC Engine Bonnet</strong> for the <strong>Ferrari 812 Superfast and 812 GTS</strong> enhances the vehicle’s front design with a more aggressive and performance-oriented appearance. Developed specifically for the 812 platform, the bonnet emphasizes the V12 character while reducing weight and reinforcing the motorsport-inspired styling.</p> <p>Available in visible carbon fiber or primed for painting, the engine bonnet allows full customization from exposed performance aesthetics to seamless body-color integration.</p> <h4>Compatibility</h4> <p>Ferrari 812 <strong>Superfast</strong><br>Ferrari 812 <strong>GTS</strong></p> <h4>Key Features</h4> <ul> <li> <p>Engine bonnet upgrade</p> </li> <li> <p>Developed specifically for Ferrari 812 Superfast &amp; GTS</p> </li> <li> <p>Enhances front styling and performance presence</p> </li> <li> <p>Lightweight construction</p> </li> <li> <p>Precision-engineered for OEM-level fitment</p> </li> <li> <p>Available in visible carbon or primed version</p> </li> </ul> <h4>Available Versions</h4> <p><strong>Visible Carbon</strong></p> <ul> <li> <p>Manufactured from visible carbon fiber</p> </li> <li> <p>Lightweight construction</p> </li> <li> <p>Premium high-gloss exposed carbon finish</p> </li> </ul> <p><strong>Primed for Painting</strong></p> <ul> <li> <p>Supplied primed</p> </li> <li> <p>Designed for paint finishing in vehicle color</p> </li> <li> <p>Ideal for OEM-style integration</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Engine Bonnet</p> </li> <li> <p>Material: Visible Carbon or Primed Composite (depending on version)</p> </li> </ul> <h4>Installation</h4> <p>Professional installation and paint preparation (if applicable) are strongly recommended.</p> <h4>Part Numbers</h4> <p><strong>Visible Carbon</strong></p> <ul> <li data-start=""16",Novitec,Aerodynamics,"brand_novitec, car_ferrari, category_aerodynamic, condition_new, install_available, model_812_gts, model_812_superfast, pricing_buy_now",TRUE,Variant,Visible Carbon,F6 812 28,0,shopify,1,deny,manual,37900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at18.52.10.png,1,Engine Bonnet - Ferrari 812 Superfast & GTS - F6 812 28/ 29 - Novitec,FALSE,active
novitec-ferrari-812-f6-812-28,,,,,,,,Primed for painting,F6 812 29,0,shopify,2,deny,manual,31900.00,TRUE,TRUE,,,,,
novitec-ferrari-812-f6-812-28,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at19.04.42.png,2,Engine Bonnet - Ferrari 812 Superfast & GTS - F6 812 28/ 29 - Novitec,,
novitec-ferrari-812-f6-812-28,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-01-15_at_00.30.11_df9037c1-74d2-4b4b-b857-33ba5b67e150.png,3,Engine Bonnet - Ferrari 812 Superfast & GTS - F6 812 28/ 29 - Novitec,,
novitec-tailpipes-black-2pcs-purosangue,Tailpipes Stainless Steel (2-Piece Set) - Ferrari Purosangue - F1 666 17/ 18 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC Stainless Steel Tailpipes (2-Piece Set)</strong> for the Ferrari Purosangue enhance the rear appearance with a refined, motorsport-inspired finish. Designed to fit both NOVITEC exhaust systems and the original factory exhaust, these tailpipes provide a direct visual upgrade while maintaining perfect OEM-level fitment.</p> <p>Available in multiple finishes, each version offers a distinct aesthetic to complement the vehicle’s overall design.</p> <h4>Compatibility</h4> <p>Ferrari Purosangue<br>Compatible with <strong>NOVITEC exhaust systems</strong> and <strong>original factory exhaust</strong></p> <h4>Key Features</h4> <ul> <li> <p>Tailpipes set (2 pieces)</p> </li> <li> <p>Designed for NOVITEC and original Ferrari exhaust systems</p> </li> <li> <p>Precision-engineered for perfect fitment</p> </li> <li> <p>High-quality stainless steel construction</p> </li> <li> <p>Available in Black or Gold-Plated finish</p> </li> <li> <p>Direct replacement using factory mounting points</p> </li> </ul> <h4>Variants</h4> <h4>Black Tailpipes</h4> <ul> <li> <p>Stainless steel construction</p> </li> <li> <p>Black-coated finish</p> </li> <li> <p>Sporty, understated appearance</p> </li> </ul> <h4>Gold-Plated Tailpipes</h4> <ul> <li> <p>Stainless steel construction</p> </li> <li> <p>Coated with 999 fine gold</p> </li> <li> <p>Premium appearance with reduced heat discoloration</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Tailpipes</p> </li> <li> <p>Quantity: 2 pieces</p> </li> <li> <p>Material: Stainless Steel</p> </li> <li> <p>Finish: Depending on selected variant</p> </li> </ul> <h4>Installation</h4> <p>Professional installation is recommended.<br>Direct replacement using factory mounting points.</p> <h4>Part Numbers</h4> <p><",Novitec,Exhaust,"brand_novitec, car_ferrari, category_exhaust, condition_new, install_available, model_purosangue, pricing_buy_now",TRUE,Variant,Stainless steel,F1 666 17,0,shopify,2,deny,manual,15900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-02at23.36.53.png,1,Tailpipes Stainless Steel (2-Piece Set) - Ferrari Purosangue - F1 666 17/ 18 - Novitec,FALSE,active
novitec-tailpipes-black-2pcs-purosangue,,,,,,,,Gold 999,F1 666 18,0,shopify,4,deny,manual,20900.00,TRUE,TRUE,,,,,
