Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
mula-arts-aston-martin-valkyrie-1-8,Aston Martin Valkyrie 1/8 - British Green,<p><strong>Collectibles</strong> — premium scale model for display and collection.</p> <ul> <li>Brand: Aston Martin</li> <li>Model: Valkyrie</li> <li>Scale: 1/8</li> <li>Color: British Green</li> </ul> <p><br></p>,Collectibles,Scale Model / Art Piece,"brand_collectibles, car_aston_martin, category_collectibles, condition_new, install_available, pricing_buy_now",TRUE,Title,Default Title,R1 100 04,0,shopify,4,deny,manual,19900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/be661fe8-4700-4e24-93a5-f9a829cad7f8.jpg,1,Aston Martin Valkyrie 1/8 - British Green,FALSE,active
mula-arts-aston-martin-valkyrie-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/bba01c82-05a1-453e-97c5-594243370cf3.jpg,2,Aston Martin Valkyrie 1/8 - British Green,,
mula-arts-aston-martin-valkyrie-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/9d8a86c3-8f5e-4d97-9943-57ff24db49f8.jpg,3,Aston Martin Valkyrie 1/8 - British Green,,
novitec-esteso-widebody-kit-pu-rim-primed-for-painting-purosangue,ESTESO Widebody Conversion - Ferrari Purosangue - F1 666 00/ 83 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC ESTESO Widebody Conversion</strong> for the Ferrari Purosangue transforms the vehicle with a significantly more aggressive and athletic presence. Expanding the body width for a more dominant stance, the ESTESO package enhances both visual impact and aerodynamic performance while maintaining precise OEM-level fitment.</p> <p>Designed specifically for the Purosangue, the widebody components are engineered for seamless integration and are available in two premium material options.</p> <h4>Compatibility</h4> <p>Ferrari Purosangue</p> <h4>Key Features</h4> <ul> <li> <p>Complete NOVITEC ESTESO widebody conversion</p> </li> <li> <p>Increased vehicle width for a more aggressive stance</p> </li> <li> <p>Enhanced aerodynamic performance and high-speed stability</p> </li> <li> <p>Precision-engineered for OEM-level fitment</p> </li> <li> <p>Available in PU-RIM (paintable) or Visible Carbon</p> </li> </ul> <h4>Available Versions</h4> <p><strong>PU-RIM (Paintable Version)</strong></p> <ul> <li> <p>All components manufactured from high-quality PU-RIM</p> </li> <li> <p>Designed for painting in vehicle body color or custom finish</p> </li> <li> <p>Perfect integration with factory body lines</p> </li> </ul> <p><strong>Visible Carbon Version</strong></p> <ul> <li> <p>Manufactured from exposed-structure carbon fiber</p> </li> <li> <p>Lightweight construction</p> </li> <li> <p>Motorsport-inspired appearance</p> </li> <li> <p>Premium high-gloss carbon finish</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Widebody Conversion</p> </li> <li> <p>Model: ESTESO</p> </li> <li> <p>Material: PU-RIM or Visible Carbon (depending on selected variant)</p> </li> <li> <p>Fitment: Direct integration with factory body structure</p> </li> </ul> <h4>Installation</h4> <p>Professional installation and bodywork preparation are required.<br>Painting required for PU-RIM version.</p> <h4 data-e",Novitec,Aerodynamics,"brand_novitec, car_ferrari, category_aerodynamic, condition_new, install_available, model_purosangue, pricing_buy_now",TRUE,Variant,Ready for painting,F6 666 00,0,shopify,5,deny,manual,59900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at06.52.19_2a6620d4-9e1c-4e0f-880e-88d9239855cd.png,1,ESTESO Widebody Conversion - Ferrari Purosangue - F1 666 00/ 83 - Novitec,FALSE,active
novitec-esteso-widebody-kit-pu-rim-primed-for-painting-purosangue,,,,,,,,Visible Carbon,F6 666 83,0,shopify,4,deny,manual,89900.00,TRUE,TRUE,,,,,
novitec-esteso-widebody-kit-pu-rim-primed-for-painting-purosangue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at06.53.53_0653184f-df62-47fc-b082-a85ea095193b.png,2,ESTESO Widebody Conversion - Ferrari Purosangue - F1 666 00/ 83 - Novitec,,
novitec-esteso-widebody-kit-pu-rim-primed-for-painting-purosangue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-01-15_at_00.39.14.png,3,ESTESO Widebody Conversion - Ferrari Purosangue - F1 666 00/ 83 - Novitec,,
novitec-esteso-engine-bonnet-primed-partial-visible-carbon-bonnet-insert-purosangue,ESTESO Engine Bonnet - Ferrari Purosangue - F1 666 80/ 81 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC ESTESO Engine Bonnet</strong> for the Ferrari Purosangue enhances both visual presence and aerodynamic performance. Developed as part of the ESTESO widebody program, the bonnet features a more aggressive design while maintaining precise OEM-level fitment and seamless integration.</p> <p>Available in different material configurations, the bonnet combines lightweight construction with a refined motorsport-inspired appearance.</p> <h4>Compatibility</h4> <p>Ferrari Purosangue</p> <h4>Key Features</h4> <ul> <li> <p>NOVITEC ESTESO engine bonnet</p> </li> <li> <p>Enhanced aerodynamic styling</p> </li> <li> <p>Developed specifically for the Ferrari Purosangue</p> </li> <li> <p>Precision-engineered for OEM-level fitment</p> </li> <li> <p>Available in primed version or partial visible carbon</p> </li> </ul> <h4>Available Versions</h4> <p><strong>Primed for Painting / Partial Visible Carbon with Bonnet Insert</strong></p> <ul> <li> <p>Supplied primed for painting</p> </li> <li> <p>Partial exposed carbon elements</p> </li> <li> <p>Includes carbon bonnet insert</p> </li> </ul> <p><strong>Primed for Painting / Partial Visible Carbon</strong></p> <ul> <li> <p>Supplied primed for painting</p> </li> <li> <p>Partial exposed carbon elements</p> </li> <li> <p>Without separate bonnet insert</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Engine Bonnet</p> </li> <li> <p>Program: ESTESO</p> </li> <li> <p>Material: Composite construction with visible carbon elements (depending on version)</p> </li> <li> <p>Finish: Primed for painting / Partial visible carbon</p> </li> </ul> <h4>Installation</h4> <p>Professional installation and paint preparation are required.</p> <h4>Part Numbers</h4> <p><strong>Primed / Partial Visible Carbon with Bonnet Insert</strong></p> <ul> <li> <p>F6 666 80</p> </li> </ul> <p da",Novitec,Aerodynamics,"brand_novitec, car_ferrari, category_aerodynamic, condition_new, install_available, model_purosangue, pricing_buy_now",TRUE,Variant,Ready for paint,F6 666 80,0,shopify,4,deny,manual,42900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at07.20.57.png,1,ESTESO Engine Bonnet - Ferrari Purosangue - F1 666 80/ 81 - Novitec,FALSE,active
novitec-esteso-engine-bonnet-primed-partial-visible-carbon-bonnet-insert-purosangue,,,,,,,,Visible Carbon,F6 666 81,0,shopify,5,deny,manual,48900.00,TRUE,TRUE,,,,,
novitec-esteso-engine-bonnet-primed-partial-visible-carbon-bonnet-insert-purosangue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at07.21.29.png,2,ESTESO Engine Bonnet - Ferrari Purosangue - F1 666 80/ 81 - Novitec,,
