Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
novitec-hydraulic-adjustment-suspension-springs-with-fiorano-package-sf90,Hydraulic Adjustment System with Suspension Springs - Ferrari SF90 Stradale & Spider - F5 090 30/ 40 - Novitec,"<h2>Description</h2> <p>The <strong>NOVITEC Hydraulic Adjustment System with Suspension Springs</strong> for the <strong>Ferrari SF90 Stradale and SF90 Spider</strong> combines performance lowering with practical front axle lift functionality. The system includes a specially developed <strong>suspension spring set</strong> designed to lower the vehicle in combination with the original suspension while maintaining factory damper control.</p> <p>At the front axle, a <strong>40mm hydraulic lift adjustment</strong> can be activated at the push of a button, allowing additional ground clearance when needed (e.g., speed bumps or ramps). The integrated <strong>CAN control unit</strong> ensures seamless electronic integration, while the original damper adjustment system remains fully functional.</p> <p>Two versions are available depending on whether the vehicle is equipped with the <strong>Fiorano package</strong>.</p> <h2>Compatibility</h2> <p>Ferrari <strong>SF90 Stradale</strong><br>Ferrari <strong>SF90 Spider</strong></p> <p>Available Versions:</p> <ul> <li> <p>For vehicles <strong>with Fiorano package</strong><br><strong>Part Number:</strong> F5 090 30</p> </li> <li> <p>For vehicles <strong>without Fiorano package</strong><br><strong>Part Number:</strong> F5 090 40</p> </li> </ul> <h2>Key Features</h2> <ul> <li> <p>Hydraulic front axle lift system (approx. 40mm adjustment)</p> </li> <li> <p>Includes suspension spring set for performance lowering</p> </li> <li> <p>Maintains original factory damper adjustment</p> </li> <li> <p>CAN-controlled electronic integration</p> </li> <li> <p>Activated at the push of a button</p> </li> <li> <p>Improves stance while maintaining everyday usability</p> </li> </ul> <h2>Included Components</h2> <ul> <li> <p>Suspension spring set</p> </li> <li> <p>Hydraulic front axle lift system (40mm)</p> </li> <li> <p>CAN control unit</p> </li> <li> <p>Required mounting and installation components (as supplied by NOVITEC)</p> </li> </ul> <h2>Technical Details</h2> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Hydraulic Suspension Adjustment System</p> </li> <li> <p>Front Lift Adjustment: Approx. 40mm</p> </li> <li> <p>Integration: CAN bus controlled</p> </li> <li> <p>Compatibility: With or without Fiorano package (depending on version)</p> </li> </ul> <h2>Installation</h2> <p>Professional installation is strongly recommended to ensure correct integration with the suspension and electronic systems. Wheel alignment is required after installation.</p> <h2>Special Order</h2> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Suspension,"brand_novitec, car_ferrari, category_suspension, condition_new, install_available, model_sf90, pricing_buy_now",TRUE,Variant,With Fiorano Package,F5 090 30,0,shopify,1,deny,manual,31900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-02-06at12.22.55.png,1,Hydraulic Adjustment System with Suspension Springs - Ferrari SF90 Stradale & Spider - F5 090 30/ 40 - Novitec,FALSE,active
novitec-hydraulic-adjustment-suspension-springs-with-fiorano-package-sf90,,,,,,,,Without Fiorano Package,F5 090 40,0,shopify,4,deny,manual,31900.00,TRUE,TRUE,,,,,
novitec-nf11-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,NF11 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 69/ 38/91 - Novitec,"<h2>Description</h2> <p>The <strong>NOVITEC Forged Aluminium Wheel Set NF11 Central Lock Look</strong> for the <strong>Ferrari SF90 Stradale and SF90 Spider</strong> combines ultra-lightweight forged engineering with a bold motorsport-inspired <strong>central lock appearance</strong>. Designed to replicate the look of a single center locking system while retaining compatibility with the factory multi-bolt hub setup, the NF11 delivers an authentic racing aesthetic without structural modification.</p> <p>Each set includes a <strong>central cover available in black, red, or silver</strong>, allowing customization to perfectly match the vehicle’s styling theme.</p> <p>Manufactured from high-grade forged aluminium, the NF11 wheels reduce unsprung mass while maintaining exceptional strength, improving steering precision, cornering stability, and overall driving performance.</p> <h2>Compatibility</h2> <p>Ferrari <strong>SF90 Stradale</strong><br>Ferrari <strong>SF90 Spider</strong></p> <h2>Available Versions</h2> <h3>With Tyres</h3> <p>Complete wheel and tyre package:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong> with <strong>255/30 R21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong> with <strong>325/25 R21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 69</p> <h3>Without Tyres</h3> <p>Wheel set only:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 38 / F4 090 91</p> <h2>Key Features</h2> <ul> <li> <p>Forged aluminium wheel construction</p> </li> <li> <p>Central Lock Look design</p> </li> <li> <p>Includes central cover in black, red, or silver</p> </li> <li> <p>Lightweight and high-strength construction</p> </li> <li> <p>Enhances handling precision and driving stability</p> </li> <li> <p>Motorsport-inspired styling</p> </li> <li> <p>OEM-level fitment and integration</p> </li> <li> <p>Available with or without tyres</p> </li> </ul> <h2>Included Components</h2> <p>Depending on selected version:</p> <ul> <li> <p>4x NOVITEC NF11 forged wheels</p> </li> <li> <p>Central covers (black, red, or silver – selectable)</p> </li> <li> <p>Performance tyres (if ordered with tyre package)</p> </li> <li> <p>Mounting hardware (as supplied by NOVITEC)</p> </li> </ul> <h2>Technical Details</h2> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Wheel Type: NF11 Central Lock Look</p> </li> <li> <p>Material: Forged Aluminium</p> </li> <li> <p>Front Size: 9.5J x 21</p> </li> <li> <p>Rear Size: 12.0J x 21</p> </li> <li> <p>Tyre Sizes (if applicable): 255/30 R21 (Front), 325/25 R21 (Rear)</p> </li> </ul> <h2>Installation</h2> <p>Professional installation and wheel alignment are strongly recommended to ensure proper fitment and optimal performance.</p> <h2>Special Order</h2> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Wheels,"brand_novitec, car_ferrari, category_wheels, condition_new, install_available, model_sf90, pricing_buy_now",TRUE,Variant,With Tyres,F4 090 69,0,shopify,1,deny,manual,69900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at06.43.09.png,1,NF11 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 69/ 38/91 - Novitec,FALSE,active
novitec-nf11-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,,,,,,,,Without Tyres,F4 090 38/91,0,shopify,4,deny,manual,59900.00,TRUE,TRUE,,,,,
novitec-nf11-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-15_at_11.55.46.png,2,NF11 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 69/ 38/91 - Novitec,,
novitec-nf10-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 63/ 33/90 - Novitec,"<h2>Description</h2> <p>The <strong>NOVITEC Forged Aluminium Wheel Set NF10 Central Lock Look</strong> for the <strong>Ferrari SF90 Stradale and SF90 Spider</strong> combines advanced forged construction with an aggressive motorsport-inspired <strong>central lock appearance</strong>. Designed to replicate the look of a single central locking system while retaining standard mounting compatibility, the NF10 delivers a bold racing aesthetic without modifying the factory hub setup.</p> <p>Each wheel set includes a <strong>central cover available in black, red, or silver</strong>, allowing customization to match the vehicle’s styling.</p> <p>Manufactured from premium forged aluminium, the NF10 wheels reduce unsprung mass while maintaining maximum strength and structural rigidity, enhancing steering precision, stability, and overall driving dynamics.</p> <h2>Compatibility</h2> <p>Ferrari <strong>SF90 Stradale</strong><br>Ferrari <strong>SF90 Spider</strong></p> <h2>Available Versions</h2> <h3>With Tyres</h3> <p>Complete wheel and tyre package:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong> with <strong>255/30 R21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong> with <strong>325/25 R21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 63</p> <h3>Without Tyres</h3> <p>Wheel set only:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 33 / F4 090 90</p> <h2>Key Features</h2> <ul> <li> <p>Forged aluminium wheel construction</p> </li> <li> <p>Central Lock Look design</p> </li> <li> <p>Includes central cover in black, red, or silver</p> </li> <li> <p>Lightweight and high-strength construction</p> </li> <li> <p>Enhances handling precision and driving stability</p> </li> <li> <p>OEM-level fitment and integration</p> </li> <li> <p>Available with or without tyres</p> </li> </ul> <h2>Included Components</h2> <p>Depending on selected version:</p> <ul> <li> <p>4x NOVITEC NF10 forged wheels</p> </li> <li> <p>Central covers (black, red, or silver – selectable)</p> </li> <li> <p>Performance tyres (if ordered with tyre package)</p> </li> <li> <p>Mounting hardware (as supplied by NOVITEC)</p> </li> </ul> <h2>Technical Details</h2> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Wheel Type: NF10 Central Lock Look</p> </li> <li> <p>Material: Forged Aluminium</p> </li> <li> <p>Front Size: 9.5J x 21</p> </li> <li> <p>Rear Size: 12.0J x 21</p> </li> <li> <p>Tyre Sizes (if applicable): 255/30 R21 (Front), 325/25 R21 (Rear)</p> </li> </ul> <h2>Installation</h2> <p>Professional installation and wheel alignment are strongly recommended to ensure correct fitment and optimal performance.</p> <h2>Special Order</h2> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Wheels,"brand_novitec, car_ferrari, category_wheels, condition_new, install_available, model_sf90, pricing_buy_now",TRUE,Variant,With Tyres,F4 090 63,0,shopify,2,deny,manual,69900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at06.45.04_f9247a42-2b0e-4748-a75f-811b78907b5f.png,1,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 63/ 33/90 - Novitec,FALSE,active
novitec-nf10-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,,,,,,,,Without Tyres,F4 090 33/90,0,shopify,6,deny,manual,59900.00,TRUE,TRUE,,,,,
novitec-nf10-wheel-tyre-set-21-21j-solid-colors-incl-central-cover,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-15_at_11.42.44.png,2,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari SF90 Stradale & Spider - F4 090 63/ 33/90 - Novitec,,
novitec-nf9-wheel-tyre-set-20-21j-solid-colors-255-35-r20-325-25-r21,NF9 Forged Aluminium Wheel Set - Ferrari SF90 Stradale & Spider - F4 090 37/ 07/80 - Novitec,"<h2>Description</h2> <p>The <strong>NOVITEC Forged Aluminium Wheel Set NF9</strong> for the <strong>Ferrari SF90 Stradale and SF90 Spider</strong> combines lightweight forged construction with a bold and modern multi-spoke design. Engineered to reduce unsprung mass while maintaining maximum strength, the NF9 wheels enhance steering response, cornering stability, and overall driving precision.</p> <p>Manufactured from high-grade forged aluminium, the NF9 wheel set ensures durability, performance, and precise OEM-level fitment. The wheels are available either <strong>with high-performance tyres mounted</strong> or <strong>without tyres</strong>, depending on the selected configuration.</p> <h2>Compatibility</h2> <p>Ferrari <strong>SF90 Stradale</strong><br>Ferrari <strong>SF90 Spider</strong></p> <h2>Available Versions</h2> <h3>With Tyres</h3> <p>Complete wheel and tyre package:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong> with <strong>255/30 R21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong> with <strong>325/25 R21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 37</p> <h3>Without Tyres</h3> <p>Wheel set only:</p> <ul> <li> <p>Front Axle: <strong>9.5J x 21</strong></p> </li> <li> <p>Rear Axle: <strong>12.0J x 21</strong></p> </li> </ul> <p><strong>Product Number:</strong> F4 090 07 / F4 090 80</p> <h2>Key Features</h2> <ul> <li> <p>Forged aluminium wheel construction</p> </li> <li> <p>Lightweight and high-strength design</p> </li> <li> <p>Enhances handling precision and stability</p> </li> <li> <p>Distinctive NF9 styling</p> </li> <li> <p>OEM-level integration and precise fitment</p> </li> <li> <p>Available with or without tyres</p> </li> </ul> <h2>Included Components</h2> <p>Depending on selected version:</p> <ul> <li> <p>4x NOVITEC NF9 forged wheels</p> </li> <li> <p>Performance tyres (if ordered with tyre package)</p> </li> <li> <p>Mounting hardware (as supplied by NOVITEC)</p> </li> </ul> <h2>Technical Details</h2> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Wheel Type: NF9 Forged</p> </li> <li> <p>Material: Forged Aluminium</p> </li> <li> <p>Front Size: 9.5J x 21</p> </li> <li> <p>Rear Size: 12.0J x 21</p> </li> <li> <p>Tyre Sizes (if applicable): 255/30 R21 (Front), 325/25 R21 (Rear)</p> </li> </ul> <h2>Installation</h2> <p>Professional installation and wheel alignment are strongly recommended to ensure proper fitment and optimal performance.</p> <h2>Special Order</h2> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Wheels,"brand_novitec, car_ferrari, category_wheels, condition_new, install_available, model_sf90, pricing_buy_now",TRUE,Variant,With Tyres,F4 090 37,0,shopify,1,deny,manual,69900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-04at06.42.26_2c8dfa50-df5a-46d8-8e05-471be1a4abab.png,1,NF9 Forged Aluminium Wheel Set - Ferrari SF90 Stradale & Spider - F4 090 37/ 07/80 - Novitec,FALSE,active
novitec-nf9-wheel-tyre-set-20-21j-solid-colors-255-35-r20-325-25-r21,,,,,,,,Without Tyres,F4 090 07/80,0,shopify,2,deny,manual,59900.00,TRUE,TRUE,,,,,
